127.0.0.1 - - [11/Sep/2018:11:41:44 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:41:58 -0300] "GET /RuteAr/Test HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:43:40 -0300] "OPTIONS /RuteAr/rest/usuarios/login HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:43:56 -0300] "OPTIONS /RuteAr/rest/usuarios/login HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:43:57 -0300] "POST /RuteAr/rest/usuarios/login HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:43:58 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:43:58 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:29 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:29 -0300] "POST /RuteAr/rest/rutas HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:31 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:31 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:31 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:43 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:43 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:43 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:45 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:45 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:45 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:45 -0300] "GET /RuteAr/rest/realizadas/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:46 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:46 -0300] "PUT /RuteAr/rest/rutas HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:49 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:49 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:49 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:45:58 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:45:58 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:45:58 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:46:01 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:46:01 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:46:01 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:46:04 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:46:07 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:46:08 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:54:30 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:54:30 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:54:30 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:54:33 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:54:33 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:54:33 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:54:45 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
